begin,end,length,straightdis,sinuosity,name
2,53,60.19593372,60.19593372,1,KT 24|1
2,53,225.0052977,225.0052977,1,KT 24|2
2,53,310.0051853,310.0051853,1,KT 24|3
2,53,288.040354,288.040354,1,KT 24|4
2,53,251.9561778,251.9561778,1,KT 24|5
2,53,297.1200153,297.1200153,1,KT 24|6
2,53,410.0018152,410.0018152,1,KT 24|7
2,53,227.4584788,227.4584788,1,KT 24|8
2,53,372.5404497,372.5404497,1,KT 24|9
2,53,329.999975,329.999975,1,KT 24|10
2,53,389.9950709,389.9950709,1,KT 24|11
2,53,260.577099,260.577099,1,KT 24|12
2,53,50.98691951,50.98691951,1,KS 1
2,53,335.0048217,335.0048217,1,KS 2
2,53,292.3299713,292.3299713,1,KS 3
2,53,275.9697139,275.9697139,1,KS 4
2,53,365.0001762,365.0001762,1,KS 5
2,53,220.0003231,220.0003231,1,KS 6
2,53,314.9998075,314.9998075,1,KS 7
2,53,354.999554,354.999554,1,KS 8
2,53,211.1406807,211.1406807,1,KS 9
2,53,208.8572754,208.8572754,1,KS 10
2,53,239.9595429,239.9595429,1,KS 11
2,53,305.0399641,305.0399641,1,KS 12
2,53,285.004527,285.004527,1,KS 13
2,53,255.0041803,255.0041803,1,KS 14
2,53,230.001126,230.001126,1,KS 15
2,53,268.6538455,268.6538455,1,KS 16
2,53,271.29766,271.29766,1,KS 17
2,53,349.0739253,349.0739253,1,KS 18
2,53,252.9036145,252.9036145,1,KS 19
2,53,253.0857997,253.0857997,1,KS 20
2,53,339.9509311,339.9509311,1,KS 21
2,53,249.9951801,249.9951801,1,KS 22
2,53,395.0042657,395.0042657,1,KS 23
2,53,225.0005259,225.0005259,1,KS 24
2,53,324.9997333,324.9997333,1,KS 25
2,53,264.659357,264.659357,1,KS 26
2,53,290.3379779,290.3379779,1,KS 27
2,53,459.9983251,459.9983251,1,KS 28
2,53,225.0000041,225.0000041,1,KS 29
2,53,324.9951751,324.9951751,1,KS 30
2,53,460.0000514,460.0000514,1,KS 31
2,53,365.0032873,365.0032873,1,KS 32
2,53,254.9988537,254.9988537,1,KS 33
2,53,244.9993389,244.9993389,1,KS 34
2,53,355.0039957,355.0039957,1,KS 35
2,53,314.9958835,314.9958835,1,KS 36
2,53,309.9949987,309.9949987,1,KS 37
2,53,305.0038616,305.0038616,1,KS 38
2,53,286.9772643,286.9772643,1,KS 39
